orf_name,name,chr,start,stop,length,strand,orf_class,TSS,PAS,transcript_start,transcript_stop
YJL125C,GCD14,10,185526,186677,1151,-,Verified,186729.0,185430.0,185430,186729
YJL124C,LSM1,10,187125,187643,518,-,Verified,187809.0,186904.0,186904,187809
YJL123C,MTC1,10,188003,189439,1436,-,Verified,189447.0,187886.0,187886,189447
YJL122W,ALB1,10,189715,190242,527,+,Verified,189712.0,190397.0,189712,190397
YJL121C,RPE1,10,190373,191089,716,-,Verified,191101.0,190302.0,190302,191101
YJL120W,YJL120W,10,191021,191344,323,+,Dubious,,,191021,191344
YJL119C,YJL119C,10,191571,191894,323,-,Dubious,,,191894,191571
YJL118W,YJL118W,10,191638,192297,659,+,Verified,191683.0,192400.0,191683,192400
YJL117W,PHO86,10,192530,193465,935,+,Verified,192480.0,193627.0,192480,193627
YJL116C,NCA3,10,193859,194872,1013,-,Verified,195085.0,193543.0,193543,195085
YJL115W,ASF1,10,196285,197124,839,+,Verified,196209.0,197205.0,196209,197205
YJL112W,MDV1,10,205301,207445,2144,+,Verified,205253.0,207581.0,205253,207581
YJL111W,CCT7,10,207873,209525,1652,+,Verified,207822.0,209692.0,207822,209692
YJL110C,GZF3,10,209918,211573,1655,-,Verified,211662.0,209907.0,209907,211662
YJL109C,UTP10,10,211996,217305,5309,-,Verified,217337.0,211937.0,211937,217337
YJL108C,PRM10,10,217701,218852,1151,-,Verified,,217533.0,217533,217701
YJL107C,YJL107C,10,218849,220012,1163,-,Uncharacterized,220132.0,,220012,220132
YJL106W,IME2,10,221386,223323,1937,+,Verified,,223445.0,221386,223445
YJL105W,SET4,10,225051,226733,1682,+,Verified,223729.0,,223729,226733
YJL104W,PAM16,10,227323,227772,449,+,Verified,227301.0,227942.0,227301,227942
YJL103C,GSM1,10,229021,230877,1856,-,Uncharacterized,231047.0,228819.0,228819,231047
YJL102W,MEF2,10,231297,233756,2459,+,Verified,231246.0,234007.0,231246,234007
YJL101C,GSH1,10,234316,236352,2036,-,Verified,236495.0,234173.0,234173,236495
YJL100W,LSB6,10,237259,239082,1823,+,Verified,236813.0,239163.0,236813,239163
YJL099W,CHS6,10,239410,241650,2240,+,Verified,239322.0,241737.0,239322,241737
YJL098W,SAP185,10,242078,245254,3176,+,Verified,241951.0,245326.0,241951,245326
YJL097W,PHS1,10,245587,246240,653,+,Verified,245543.0,246313.0,245543,246313
YJL096W,MRPL49,10,246486,246971,485,+,Verified,246445.0,247042.0,246445,247042
YJL095W,BCK1,10,247250,251686,4436,+,Verified,247144.0,251766.0,247144,251766
YJL094C,KHA1,10,251816,254437,2621,-,Verified,254482.0,251666.0,251666,254482
YJL093C,TOK1,10,254732,256807,2075,-,Verified,256756.0,254618.0,254618,256756
YJL092W,SRS2,10,257418,260942,3524,+,Verified,257237.0,261073.0,257237,261073
YJL091C,GWT1,10,261075,262547,1472,-,Verified,262547.0,260912.0,260912,262547
YJL090C,DPB11,10,262752,265046,2294,-,Verified,265101.0,262675.0,262675,265101
YJL089W,SIP4,10,265921,268410,2489,+,Verified,265765.0,268710.0,265765,268710
YJL088W,ARG3,10,268794,269810,1016,+,Verified,268772.0,269916.0,268772,269916
YJL087C,TRL1,10,269997,272480,2483,-,Verified,272605.0,269775.0,269775,272605
YJL086C,YJL086C,10,272473,272841,368,-,Dubious,,,272841,272473
YJL085W,EXO70,10,272822,274693,1871,+,Verified,272742.0,274812.0,272742,274812
YJL084C,ALY2,10,274857,277997,3140,-,Verified,278110.0,274726.0,274726,278110
YJL083W,TAX4,10,278836,280650,1814,+,Verified,,281027.0,278836,281027
YJL082W,IML2,10,281180,283375,2195,+,Verified,281062.0,283593.0,281062,283593
YJL081C,ARP4,10,283797,285266,1469,-,Verified,285292.0,283649.0,283649,285292
YJL080C,SCP160,10,285553,289221,3668,-,Verified,289411.0,285444.0,285444,289411
YJL079C,PRY1,10,289870,290769,899,-,Verified,290933.0,289686.0,289686,290933
YJL078C,PRY3,10,291331,293976,2645,-,Verified,294049.0,291025.0,291025,294049
YJL077W-B,YJL077W-B,10,294042,294140,98,+,Uncharacterized,,294198.0,294042,294198
YJL077C,ICS3,10,294661,295056,395,-,Verified,,,295056,294661
YJL077W-A,YJL077W-A,10,294794,294880,86,+,Dubious,,,294794,294880
YJL076W,NET1,10,295240,298809,3569,+,Verified,295203.0,298905.0,295203,298905
YJL075C,APQ13,10,298455,298871,416,-,Dubious,,,298871,298455
YJL074C,SMC3,10,299152,302844,3692,-,Verified,302867.0,299066.0,299066,302867
YJL073W,JEM1,10,303176,305113,1937,+,Verified,303249.0,305217.0,303249,305217
YJL072C,PSF2,10,305216,305857,641,-,Verified,305894.0,305074.0,305074,305894
YJL071W,ARG2,10,306127,307851,1724,+,Verified,306042.0,307957.0,306042,307957
YJL070C,YJL070C,10,307966,310632,2666,-,Uncharacterized,310644.0,307892.0,307892,310644
YJL069C,UTP18,10,310917,312701,1784,-,Verified,312742.0,310828.0,310828,312742
YJL068C,YJL068C,10,313011,313910,899,-,Verified,313927.0,312908.0,312908,313927
YJL067W,YJL067W,10,314079,314429,350,+,Dubious,,,314079,314429
YJL066C,MPM1,10,314109,314867,758,-,Verified,314905.0,313895.0,313895,314905
YJL065C,DLS1,10,315049,315552,503,-,Verified,315586.0,314934.0,314934,315586
YJL064W,YJL064W,10,315170,315565,395,+,Dubious,,,315170,315565
YJL063C,MRPL8,10,315754,316470,716,-,Verified,316509.0,315675.0,315675,316509
YJL062W-A,YJL062W-A,10,316718,316975,257,+,Uncharacterized,316695.0,317172.0,316695,317172
YJL062W,LAS21,10,317279,319771,2492,+,Verified,317254.0,319864.0,317254,319864
YJL061W,NUP82,10,320011,322152,2141,+,Verified,319971.0,322298.0,319971,322298
YJL060W,BNA3,10,323381,324715,1334,+,Verified,323355.0,324797.0,323355,324797
YJL059W,YHC3,10,324959,326185,1226,+,Verified,324932.0,326275.0,324932,326275
YJL058C,BIT61,10,326237,327868,1631,-,Verified,327927.0,326174.0,326174,327927
YJL057C,IKS1,10,328113,330116,2003,-,Verified,330230.0,328052.0,328052,330230
YJL056C,ZAP1,10,330426,333068,2642,-,Verified,333165.0,330253.0,330253,333165
YJL055W,YJL055W,10,333352,334089,737,+,Uncharacterized,333338.0,334158.0,333338,334158
YJL054W,TIM54,10,334260,335696,1436,+,Verified,334252.0,335781.0,334252,335781
YJL053W,PEP8,10,335893,337032,1139,+,Verified,335850.0,337222.0,335850,337222
YJL052C-A,YJL052C-A,10,337879,337998,119,-,Uncharacterized,,,337998,337879
YJL052W,TDH1,10,338266,339264,998,+,Verified,338192.0,339414.0,338192,339414
YJL051W,IRC8,10,339782,342250,2468,+,Verified,339707.0,342340.0,339707,342340
YJL050W,MTR4,10,342517,345738,3221,+,Verified,342469.0,345797.0,342469,345797
YJL049W,YJL049W,10,345968,347320,1352,+,Uncharacterized,345941.0,347397.0,345941,347397
YJL048C,UBX6,10,347442,348632,1190,-,Verified,348875.0,347299.0,347299,348875
YJL047C-A,YJL047C-A,10,349039,349173,134,-,Uncharacterized,349362.0,348689.0,348689,349362
YJL047C,RTT101,10,349575,352103,2528,-,Verified,352223.0,349297.0,349297,352223
YJL046W,AIM22,10,352381,353610,1229,+,Uncharacterized,352354.0,353859.0,352354,353859
YJL045W,YJL045W,10,356019,357923,1904,+,Uncharacterized,,358110.0,356019,358110
YJL044C,GYP6,10,358295,359671,1376,-,Verified,359708.0,358034.0,358034,359708
YJL043W,YJL043W,10,360125,360898,773,+,Uncharacterized,359992.0,,359992,360898
YJL042W,MHP1,10,361244,365440,4196,+,Verified,361176.0,365595.0,361176,365595
YJL041W,NSP1,10,365779,368368,2589,+,Verified,365721.0,368497.0,365721,368497
YJL039C,NUP192,10,368743,373794,5051,-,Verified,373951.0,368406.0,368406,373951
YJL038C,LOH1,10,375110,375769,659,-,Uncharacterized,376088.0,374967.0,374967,376088
YJL037W,IRC18,10,376657,377331,674,+,Verified,,377436.0,376657,377436
YJL036W,SNX4,10,378820,380091,1271,+,Verified,378701.0,380297.0,378701,380297
YJL035C,TAD2,10,380244,380996,752,-,Verified,381049.0,380150.0,380150,381049
YJL034W,KAR2,10,381322,383370,2048,+,Verified,381284.0,383566.0,381284,383566
YJL033W,HCA4,10,383832,386144,2312,+,Verified,383806.0,386225.0,383806,386225
YJL032W,YJL032W,10,386343,386657,314,+,Dubious,,,386343,386657
YJL031C,BET4,10,386363,387433,1070,-,Verified,387494.0,386259.0,386259,387494
YJL030W,MAD2,10,387652,388242,590,+,Verified,387629.0,388381.0,387629,388381
YJL029C,VPS53,10,388380,390848,2468,-,Verified,390849.0,388280.0,388280,390849
YJL028W,YJL028W,10,391306,391641,335,+,Verified,,,391306,391641
YJL027C,YJL027C,10,391828,392244,416,-,Uncharacterized,,,392244,391828
YJL026W,RNR2,10,392399,393598,1199,+,Verified,392349.0,393739.0,392349,393739
YJL026C-A,YJL026C-A,10,393061,393282,221,-,Dubious,,,393282,393061
YJL025W,RRN7,10,393962,395506,1544,+,Verified,393884.0,395668.0,393884,395668
YJL024C,APS3,10,395926,396587,661,-,Verified,396629.0,395693.0,395693,396629
YJL023C,PET130,10,397350,398393,1043,-,Verified,398385.0,397255.0,397255,398385
YJL022W,YJL022W,10,398104,398412,308,+,Dubious,,,398104,398412
YJL020C,BBC1,10,398932,402405,3473,-,Verified,402484.0,398783.0,398783,402484
YJL020W-A,YJL020W-A,10,400976,401233,257,+,Dubious,,,400976,401233
YJL019W,MPS3,10,402892,404940,2048,+,Verified,402792.0,,402792,404940
YJL016W,YJL016W,10,405583,407268,1685,+,Uncharacterized,405309.0,407409.0,405309,407409
YJL015C,YJL015C,10,407137,407511,374,-,Dubious,,,407511,407137
YJL014W,CCT3,10,407552,409156,1604,+,Verified,407490.0,409277.0,407490,409277
YJL013C,MAD3,10,409487,411034,1547,-,Verified,411026.0,409366.0,409366,411026
YJL012C,VTC4,10,411228,413393,2165,-,Verified,413424.0,411157.0,411157,413424
YJL011C,RPC17,10,414279,414764,485,-,Verified,414804.0,414131.0,414131,414804
YJL010C,NOP9,10,417556,419556,2000,-,Verified,419607.0,417477.0,417477,419607
YJL009W,YJL009W,10,419849,420175,326,+,Dubious,,,419849,420175
YJL008C,CCT8,10,419951,421657,1706,-,Verified,421683.0,419796.0,419796,421683
YJL007C,YJL007C,10,422692,423006,314,-,Dubious,,,423006,422692
YJL006C,CTK2,10,423132,424103,971,-,Verified,424141.0,423075.0,423075,424141
YJL005W,CYR1,10,425151,431231,6080,+,Verified,425011.0,431372.0,425011,431372
YJL004C,SYS1,10,431583,432194,611,-,Verified,432222.0,431301.0,431301,432222
YJL003W,COX16,10,432638,432994,356,+,Verified,432591.0,433186.0,432591,433186
YJL002C,OST1,10,433215,434645,1430,-,Verified,434701.0,433120.0,433120,434701
YJL001W,PRE3,10,435157,435920,763,+,Verified,435097.0,436034.0,435097,436034
YJR001W,AVT1,10,436796,438604,1808,+,Verified,436740.0,438734.0,436740,438734
YJR002W,MPP10,10,438858,440639,1781,+,Verified,438843.0,440690.0,438843,440690
YJR003C,YJR003C,10,440987,442546,1559,-,Uncharacterized,442541.0,440900.0,440900,442541
YJR004C,SAG1,10,442902,444854,1952,-,Verified,445661.0,442759.0,442759,445661
YJR005W,APL1,10,445916,448018,2102,+,Verified,445859.0,448307.0,445859,448307
YJR005C-A,YJR005C-A,10,448470,448751,281,-,Uncharacterized,448923.0,,448751,448923
YJR006W,POL31,10,449195,450658,1463,+,Verified,449187.0,450762.0,449187,450762
YJR007W,SUI2,10,451013,451927,914,+,Verified,450916.0,452094.0,450916,452094
YJR008W,YJR008W,10,452423,453439,1016,+,Uncharacterized,452310.0,453653.0,452310,453653
YJR009C,TDH2,10,453676,454674,998,-,Verified,454722.0,453538.0,453538,454722
YJR010W,MET3,10,456232,457767,1535,+,Verified,456029.0,458121.0,456029,458121
YJR010C-A,SPC1,10,458070,458354,284,-,Verified,458399.0,457828.0,457828,458399
YJR011C,YJR011C,10,458634,459419,785,-,Uncharacterized,459464.0,458548.0,458548,459464
YJR012C,YJR012C,10,459788,460411,623,-,Uncharacterized,460206.0,459658.0,459658,460206
YJR013W,GPI14,10,460375,461586,1211,+,Verified,460335.0,461653.0,460335,461653
YJR014W,TMA22,10,461822,462418,596,+,Verified,461775.0,462518.0,461775,462518
YJR015W,YJR015W,10,462714,464246,1532,+,Uncharacterized,462708.0,464380.0,462708,464380
YJR016C,ILV3,10,464444,466201,1757,-,Verified,466216.0,464281.0,464281,466216
YJR017C,ESS1,10,466514,467026,512,-,Verified,467048.0,466279.0,466279,467048
YJR018W,YJR018W,10,466779,467141,362,+,Dubious,,,466779,467141
YJR019C,TES1,10,467225,468274,1049,-,Verified,,467158.0,467158,467225
YJR020W,YJR020W,10,467994,468326,332,+,Dubious,,,467994,468326
YJR021C,REC107,10,468548,469572,1024,-,Verified,469598.0,468450.0,468450,469598
YJR022W,LSM8,10,469777,470106,329,+,Verified,469749.0,470232.0,469749,470232
YJR023C,YJR023C,10,469797,470198,401,-,Dubious,,,470198,469797
YJR024C,MDE1,10,470223,470957,734,-,Uncharacterized,470968.0,470146.0,470146,470968
YJR025C,BNA1,10,471131,471664,533,-,Verified,471699.0,470979.0,470979,471699
YJR030C,YJR030C,10,483952,486189,2237,-,Uncharacterized,486245.0,483804.0,483804,486245
YJR031C,GEA1,10,486579,490805,4226,-,Verified,490881.0,486438.0,486438,490881
YJR032W,CPR7,10,491074,492255,1181,+,Verified,491062.0,492376.0,491062,492376
YJR033C,RAV1,10,492371,496444,4073,-,Verified,496472.0,492318.0,492318,496472
YJR034W,PET191,10,496676,497002,326,+,Verified,496612.0,497063.0,496612,497063
YJR035W,RAD26,10,497348,500605,3257,+,Verified,497315.0,500754.0,497315,500754
YJR036C,HUL4,10,500706,503384,2678,-,Verified,503555.0,500593.0,500593,503555
YJR037W,YJR037W,10,503095,503478,383,+,Dubious,,,503095,503478
YJR038C,YJR038C,10,503703,504065,362,-,Dubious,,,504065,503703
YJR039W,YJR039W,10,503929,507294,3365,+,Uncharacterized,503937.0,507340.0,503937,507340
YJR040W,GEF1,10,507739,510078,2339,+,Verified,507684.0,510144.0,507684,510144
YJR041C,URB2,10,510232,513756,3524,-,Verified,513804.0,510064.0,510064,513804
YJR042W,NUP85,10,514048,516282,2234,+,Verified,514025.0,516367.0,514025,516367
YJR043C,POL32,10,516454,517506,1052,-,Verified,517547.0,516328.0,516328,517547
YJR044C,VPS55,10,518756,519178,422,-,Verified,519270.0,518579.0,518579,519270
YJR045C,SSC1,10,519631,521595,1964,-,Verified,521734.0,519412.0,519412,521734
YJR046W,TAH11,10,522041,523855,1814,+,Verified,522024.0,523897.0,522024,523897
YJR047C,ANB1,10,524901,525374,473,-,Verified,525424.0,524795.0,524795,525424
YJR048W,CYC1,10,526328,526657,329,+,Verified,526282.0,526831.0,526282,526831
YJR049C,UTR1,10,526877,528469,1592,-,Verified,528487.0,526766.0,526766,528487
YJR050W,ISY1,10,528690,529397,707,+,Verified,528679.0,529665.0,528679,529665
YJR051W,OSM1,10,529854,531359,1505,+,Verified,529841.0,531442.0,529841,531442
YJR052W,RAD7,10,532055,533752,1697,+,Verified,532042.0,533807.0,532042,533807
YJR053W,BFA1,10,534020,535744,1724,+,Verified,533960.0,,533960,535744
YJR054W,YJR054W,10,536049,537542,1493,+,Uncharacterized,535921.0,537887.0,535921,537887
YJR055W,HIT1,10,538765,539259,494,+,Verified,538755.0,,538755,539259
YJR056C,YJR056C,10,541785,542495,710,-,Uncharacterized,542692.0,541661.0,541661,542692
YJR057W,CDC8,10,544055,544705,650,+,Verified,544045.0,544774.0,544045,544774
YJR058C,APS2,10,544725,545168,443,-,Verified,545249.0,544679.0,544679,545249
YJR059W,PTK2,10,545780,548236,2456,+,Verified,545691.0,548442.0,545691,548442
YJR060W,CBF1,10,548752,549807,1055,+,Verified,548630.0,550016.0,548630,550016
YJR061W,YJR061W,10,550504,553311,2807,+,Uncharacterized,,553459.0,550504,553459
YJR062C,NTA1,10,553469,554842,1373,-,Verified,554859.0,553129.0,553129,554859
YJR063W,RPA12,10,555188,555565,377,+,Verified,555160.0,555701.0,555160,555701
YJR064W,CCT5,10,555907,557595,1688,+,Verified,555871.0,557636.0,555871,557636
YJR065C,ARP3,10,557802,559151,1349,-,Verified,559177.0,557654.0,557654,559177
YJR066W,TOR1,10,559409,566821,7412,+,Verified,559381.0,566918.0,559381,566918
YJR067C,YAE1,10,567012,567437,425,-,Verified,567443.0,566903.0,566903,567443
YJR068W,RFC2,10,567636,568697,1061,+,Verified,567588.0,568770.0,567588,568770
YJR069C,HAM1,10,568799,569392,593,-,Verified,569425.0,568646.0,568646,569425
YJR070C,LIA1,10,569614,570591,977,-,Verified,570643.0,569484.0,569484,570643
YJR071W,YJR071W,10,570398,570766,368,+,Dubious,,,570398,570766
YJR072C,NPA3,10,570960,572117,1157,-,Verified,572148.0,570890.0,570890,572148
YJR073C,OPI3,10,572308,572928,620,-,Verified,572952.0,572225.0,572225,572952
YJR074W,MOG1,10,573088,573744,656,+,Verified,573170.0,573843.0,573170,573843
YJR075W,HOC1,10,573974,575164,1190,+,Verified,573925.0,575201.0,573925,575201
YJR076C,CDC11,10,575347,576594,1247,-,Verified,576630.0,575199.0,575199,576630
YJR077C,MIR1,10,577248,578183,935,-,Verified,578209.0,577101.0,577101,578209
YJR078W,BNA2,10,578853,580214,1361,+,Verified,578870.0,580431.0,578870,580431
YJR079W,YJR079W,10,580198,581232,1034,+,Uncharacterized,,,580198,581232
YJR080C,AIM24,10,580425,581609,1184,-,Uncharacterized,581632.0,580282.0,580282,581632
YJR082C,EAF6,10,581907,582248,341,-,Verified,582355.0,581702.0,581702,582355
YJR083C,ACF4,10,582601,583530,929,-,Verified,583549.0,582515.0,582515,583549
YJR084W,CSN12,10,583726,584997,1271,+,Verified,583703.0,585139.0,583703,585139
YJR085C,YJR085C,10,585113,585430,317,-,Uncharacterized,585443.0,585018.0,585018,585443
YJR086W,STE18,10,586061,586393,332,+,Verified,586032.0,586439.0,586032,586439
YJR087W,YJR087W,10,586393,586743,350,+,Dubious,,,586393,586743
YJR088C,YJR088C,10,586488,587366,878,-,Uncharacterized,587416.0,586359.0,586359,587416
YJR089W,BIR1,10,587711,590575,2864,+,Verified,587637.0,590684.0,587637,590684
YJR090C,GRR1,10,590865,594320,3455,-,Verified,594612.0,590767.0,590767,594612
YJR091C,JSN1,10,595054,598329,3275,-,Verified,598356.0,594775.0,594775,598356
YJR092W,BUD4,10,598728,603071,4343,+,Verified,598677.0,603194.0,598677,603194
YJR093C,FIP1,10,603213,604196,983,-,Verified,604281.0,603107.0,603107,604281
YJR094C,IME1,10,604562,605644,1082,-,Verified,605640.0,,605644,605640
YJR094W-A,RPL43B,10,608298,608851,553,+,Verified,608240.0,608981.0,608240,608981
YJR095W,SFC1,10,609766,610734,968,+,Verified,,,609766,610734
YJR096W,YJR096W,10,611188,612036,848,+,Verified,611111.0,612138.0,611111,612138
YJR097W,JJJ3,10,612406,612924,518,+,Verified,612343.0,613083.0,612343,613083
YJR098C,YJR098C,10,613179,615146,1967,-,Uncharacterized,615243.0,613004.0,613004,615243
YJR099W,YUH1,10,615566,616276,710,+,Verified,615458.0,616346.0,615458,616346
YJR100C,AIM25,10,616341,617324,983,-,Uncharacterized,617401.0,616269.0,616269,617401
YJR101W,RSM26,10,618224,619024,800,+,Verified,618186.0,619182.0,618186,619182
YJR102C,VPS25,10,619147,619755,608,-,Verified,619823.0,619023.0,619023,619823
YJR103W,URA8,10,620744,622438,1694,+,Verified,620600.0,622534.0,620600,622534
YJR104C,SOD1,10,622539,623003,464,-,Verified,623046.0,622468.0,622468,623046
YJR105W,ADO1,10,623570,624592,1022,+,Verified,623527.0,624637.0,623527,624637
YJR106W,ECM27,10,624827,627004,2177,+,Verified,624689.0,627154.0,624689,627154
YJR107W,YJR107W,10,627330,628316,986,+,Uncharacterized,,628404.0,627330,628404
YJR108W,ABM1,10,628703,629074,371,+,Verified,628863.0,,628863,629074
YJR109C,CPA2,10,629576,632932,3356,-,Verified,632960.0,629479.0,629479,632960
YJR110W,YMR1,10,633606,635672,2066,+,Verified,633480.0,635831.0,633480,635831
YJR111C,YJR111C,10,635846,636697,851,-,Uncharacterized,636821.0,635737.0,635737,636821
YJR112W,NNF1,10,637021,637626,605,+,Verified,637002.0,637678.0,637002,637678
YJR112W-A,YJR112W-A,10,637781,638159,378,+,Uncharacterized,637744.0,638252.0,637744,638252
YJR113C,RSM7,10,638223,638966,743,-,Verified,639018.0,638174.0,638174,639018
YJR114W,YJR114W,10,638650,639042,392,+,Dubious,,,638650,639042
YJR115W,YJR115W,10,639933,640442,509,+,Uncharacterized,639762.0,640735.0,639762,640735
YJR116W,YJR116W,10,640816,641655,839,+,Uncharacterized,640632.0,641806.0,640632,641806
YJR117W,STE24,10,641998,643359,1361,+,Verified,641968.0,643473.0,641968,643473
YJR118C,ILM1,10,643481,644092,611,-,Verified,644135.0,643384.0,643384,644135
YJR119C,JHD2,10,644295,646481,2186,-,Verified,646580.0,644256.0,644256,646580
YJR120W,YJR120W,10,647117,647467,350,+,Verified,,647581.0,647117,647581
YJR121W,ATP2,10,647598,649133,1535,+,Verified,647405.0,649393.0,647405,649393
YJR122W,IBA57,10,649767,651260,1493,+,Verified,649700.0,651294.0,649700,651294
YJR123W,RPS5,10,651892,652569,677,+,Verified,651856.0,652689.0,651856,652689
YJR124C,YJR124C,10,652883,654229,1346,-,Uncharacterized,654268.0,652688.0,652688,654268
YJR125C,ENT3,10,654728,655954,1226,-,Verified,656014.0,654621.0,654621,656014
YJR126C,VPS70,10,656245,658680,2435,-,Verified,658667.0,656168.0,656168,658667
YJR127C,RSF2,10,658908,663050,4142,-,Verified,663445.0,658833.0,658833,663445
YJR128W,YJR128W,10,662912,663271,359,+,Dubious,,,662912,663271
YJR129C,YJR129C,10,663991,665010,1019,-,Uncharacterized,665056.0,663671.0,663671,665056
YJR130C,STR2,10,665209,667128,1919,-,Verified,667204.0,665103.0,665103,667204
YJR131W,MNS1,10,667635,669284,1649,+,Verified,667619.0,669505.0,667619,669505
YJR132W,NMD5,10,669513,672659,3146,+,Verified,669452.0,672823.0,669452,672823
YJR133W,XPT1,10,672982,673611,629,+,Verified,672869.0,673721.0,672869,673721
YJR134C,SGM1,10,673720,675843,2123,-,Verified,675884.0,673613.0,673613,675884
YJR135C,MCM22,10,676050,676769,719,-,Verified,676813.0,675838.0,675838,676813
YJR135W-A,TIM8,10,676962,677225,263,+,Verified,676949.0,677323.0,676949,677323
YJR136C,YJR136C,10,677432,678697,1265,-,Uncharacterized,678715.0,677337.0,677337,678715
YJR137C,ECM17,10,678948,683276,4328,-,Verified,683299.0,678801.0,678801,683299
YJR138W,IML1,10,684558,689312,4754,+,Verified,684531.0,689457.0,684531,689457
YJR139C,HOM6,10,689436,690515,1079,-,Verified,690579.0,689370.0,689370,690579
YJR140C,HIR3,10,690741,695687,4946,-,Verified,695740.0,690525.0,690525,695740
YJR140W-A,YJR140W-A,10,690952,691101,149,+,Dubious,,,690952,691101
YJR141W,YJR141W,10,695897,696940,1043,+,Uncharacterized,695864.0,697012.0,695864,697012
YJR142W,YJR142W,10,697132,698160,1028,+,Uncharacterized,697111.0,698265.0,697111,698265
YJR143C,PMT4,10,698317,700605,2288,-,Verified,700664.0,698188.0,698188,700664
YJR144W,MGM101,10,700873,701682,809,+,Verified,700844.0,701748.0,700844,701748
YJR145C,RPS4A,10,702018,703059,1041,-,Verified,703092.0,701949.0,701949,703092
YJR146W,YJR146W,10,703876,704229,353,+,Dubious,,,703876,704229
YJR147W,HMS2,10,704187,705263,1076,+,Verified,704151.0,705622.0,704151,705622
YJR148W,BAT2,10,705735,706865,1130,+,Verified,705711.0,706928.0,705711,706928
YJR149W,YJR149W,10,707151,708365,1214,+,Uncharacterized,,708402.0,707151,708402
YJR150C,DAN1,10,708802,709698,896,-,Verified,,708695.0,708695,708802
YJR151C,DAN4,10,712246,715731,3485,-,Verified,,712176.0,712176,712246
YJR151W-A,YJR151W-A,10,717571,717621,50,+,Uncharacterized,,,717571,717621
YJR152W,DAL5,10,719657,721288,1631,+,Verified,,721390.0,719657,721390
YJR153W,PGU1,10,722806,723891,1085,+,Verified,,723975.0,722806,723975
YJR154W,YJR154W,10,725775,726815,1040,+,Uncharacterized,725568.0,,725568,726815
YJR155W,AAD10,10,727396,728262,866,+,Verified,,728317.0,727396,728317
YJR156C,THI11,10,728565,729587,1022,-,Verified,,728419.0,728419,728565
YJR157W,YJR157W,10,730506,730868,362,+,Dubious,,,730506,730868
YJR158W,HXT16,10,732431,734134,1703,+,Verified,,,732431,734134
YJR159W,SOR1,10,736035,737108,1073,+,Verified,,737263.0,736035,737263
YJR160C,MPH3,10,737999,739807,1808,-,Verified,,,739807,737999
YJR161C,COS5,10,742839,743990,1151,-,Verified,743997.0,,743990,743997
YJR162C,YJR162C,10,744902,745252,350,-,Dubious,,,745252,744902
YKL225W,YKL225W,11,452,799,347,+,Dubious,,,452,799
YKL224C,PAU16,11,1811,2182,371,-,Uncharacterized,,,2182,1811
YKL223W,YKL223W,11,2390,2722,332,+,Dubious,,,2390,2722
YKL222C,YKL222C,11,3504,5621,2117,-,Verified,5764.0,3208.0,3208,5764
YKL221W,MCH2,11,6108,7529,1421,+,Verified,5512.0,7676.0,5512,7676
YKL220C,FRE2,11,9092,11227,2135,-,Verified,,,11227,9092
YKL219W,COS9,11,14485,15708,1223,+,Verified,14535.0,15788.0,14535,15788
YKL218C,SRY1,11,17359,18339,980,-,Verified,18483.0,17159.0,17159,18483
YKL217W,JEN1,11,22234,24084,1850,+,Verified,,24224.0,22234,24224
YKL216W,URA1,11,25216,26160,944,+,Verified,25174.0,26477.0,25174,26477
YKL215C,YKL215C,11,26828,30688,3860,-,Uncharacterized,30761.0,26660.0,26660,30761
YKL214C,YRA2,11,31083,31694,611,-,Verified,31750.0,31024.0,31024,31750
YKL213C,DOA1,11,31961,34108,2147,-,Verified,34146.0,31886.0,31886,34146
YKL212W,SAC1,11,34544,36415,1871,+,Verified,34370.0,36678.0,34370,36678
YKL211C,TRP3,11,36700,38154,1454,-,Verified,38171.0,36503.0,36503,38171
YKL210W,UBA1,11,39164,42238,3074,+,Verified,39115.0,42330.0,39115,42330
YKL209C,STE6,11,42424,46296,3872,-,Verified,46323.0,42249.0,42249,46323
YKL208W,CBT1,11,47158,47973,815,+,Verified,47149.0,48045.0,47149,48045
YKL207W,LRC3,11,48195,48956,761,+,Uncharacterized,48161.0,49008.0,48161,49008
YKL206C,ADD66,11,49007,49810,803,-,Verified,49832.0,48941.0,48941,49832
YKL205W,LOS1,11,50052,53354,3302,+,Verified,49998.0,53473.0,49998,53473
YKL204W,EAP1,11,53705,55603,1898,+,Verified,53670.0,55758.0,53670,55758
YKL203C,TOR2,11,55936,63360,7424,-,Verified,63540.0,55856.0,55856,63540
YKL202W,YKL202W,11,63822,64403,581,+,Dubious,,,63822,64403
YKL201C,MNN4,11,63931,67467,3536,-,Verified,66285.0,63714.0,63714,66285
YKL198C,PTK1,11,68274,70223,1949,-,Verified,,68118.0,68118,68274
YKL197C,PEX1,11,70739,73870,3131,-,Verified,73902.0,70446.0,70446,73902
YKL196C,YKT6,11,74937,75539,602,-,Verified,75586.0,74790.0,74790,75586
YKL195W,MIA40,11,75826,77037,1211,+,Verified,75782.0,77166.0,75782,77166
YKL194C,MST1,11,77263,78651,1388,-,Verified,78688.0,77096.0,77096,78688
YKL193C,SDS22,11,78871,79887,1016,-,Verified,79929.0,78761.0,78761,79929
YKL192C,ACP1,11,80165,80542,377,-,Verified,80585.0,80026.0,80026,80585
YKL191W,DPH2,11,81040,82644,1604,+,Verified,81013.0,82731.0,81013,82731
